Period,Teacher,RoomID,Occupancy,Mote,TeacherMote
0,xxx,xxx,9,10086,282
1,xxx,xxx,13,10086,282
5,xxx,xxx,17,10086,282
0,xxx,xxx,8,10083,491
7,xxx,xxx,11,10083,491
2,xxx,xxx,6,10083,491
6,xxx,xxx,9,10083,491
0,xxx,xxx,9,10033,106
8,xxx,xxx,14,10033,106
5,xxx,xxx,14,10033,106
2,xxx,xxx,17,10033,106
0,xxx,xxx,9,10100,478
8,xxx,xxx,9,10100,478
1,xxx,xxx,8,10100,478
2,xxx,xxx,7,10100,478
0,xxx,xxx,8,10067,680
5,xxx,xxx,15,10067,680
7,xxx,xxx,14,10067,680
8,xxx,xxx,18,10067,680
0,xxx,xxx,9,10043,540
1,xxx,xxx,13,10043,540
5,xxx,xxx,17,10043,540
0,xxx,xxx,7,10163,0
5,xxx,xxx,16,10163,0
7,xxx,xxx,8,10163,0
0,xxx,xxx,7,10164,39
1,xxx,xxx,14,10164,39
8,xxx,xxx,14,10164,39
0,xxx,xxx,8,10068,0
2,xxx,xxx,15,10068,0
7,xxx,xxx,9,10068,0
8,xxx,xxx,14,10068,0
0,xxx,xxx,6,10123,576
7,xxx,xxx,12,10123,576
8,xxx,xxx,12,10123,576
2,xxx,xxx,3,10123,576
6,xxx,xxx,11,10123,576
0,xxx,xxx,9,10138,0
2,xxx,xxx,13,10138,0
8,xxx,xxx,13,10138,0
7,xxx,xxx,17,10138,0
1,xxx,xxx,18,10138,0
2,xxx,xxx,3,10062,635
0,xxx,xxx,10,10062,635
7,xxx,xxx,13,10062,635
8,xxx,xxx,12,10062,635
6,xxx,xxx,11,10062,635
0,xxx,xxx,7,10101,753
2,xxx,xxx,12,10101,753
7,xxx,xxx,16,10101,753
0,xxx,xxx,9,10128,0
2,xxx,xxx,14,10128,0
7,xxx,xxx,14,10128,0
8,xxx,xxx,17,10128,0
0,xxx,xxx,7,10050,222
2,xxx,xxx,14,10050,222
7,xxx,xxx,13,10050,222
8,xxx,xxx,16,10050,222
0,xxx,xxx,9,10169,258
